1FWrm3Z1g2W4kEQXgsUyHXEk2S9dTVK54P,SSS,0.17236086,"['card', 'gamble', 'hacking']",tbx3wt4fkwqr67xzuahvmuolqjsnqxvylz76kfeshtasqal3qzbe4cid.onion,0.26086956521739135
38AFU5YCK8bjiNwoyRroGfLZbf4Tuh6a62,SSS,0.00804232,"['btc', 'gun', 'hacking']",25oe2y2djrslfy5ebj3xe62oo5qmyxtzmgfvwgu53i5bnh52bzp75jqd.onion,0.2775
1CoYHPiwmPTrpPRehPgaQyZzPFvPkPM6Jo,SS,420.01110773,"['btc', 'market']",zv3y3foernmw4v63jiznf7hc2vaayfd23hx5tgzkaol72swkwvsamoyd.onion,0.2775
112FWGSL2q7rVTgabQuJbo3WwKid8dMEtj,SS,0.45941653,"['btc', 'hacking']",5bhtuxacjqcy6ifiyt5n4pb2yvvzdyibxfbf4ctu5cire7kic7f7uzid.onion,0
132P7fT5qCXa3WE9PhRPaHRUh5EcF7Ut15,SS,0.08284966,"['btc', 'hacking']",bcl2smq4wxjpv322qbtix667geppaln335fn42l2cgk7waeeycneuhad.onion,0.3872093023255815
1DcUh2CTcEJs2Hc3tK6MFNwVieBBsE9Yfy,SS,0.02968509,"['btc', 'market']",yjmmvrbklyrljwnbjwfjqr7ipdh4ooppt66jmo4rvvalnpzcqmwexvid.onion,0.26086956521739135
12eSuU84qUsS9ZrJEzW2XkfTXqLk14i7nT,SS,0.0235,"['drugs', 'card']",2kquuclsd6swhgi4src7zwu56eca5qikeh2wplnee6r7jrhr5bczmjid.onion,0
13RRhKrWj6VprwB5oXXyJTmadRV2XBEouA,SS,0.00055524,"['btc', 'porn']",gzxw6alvhhpdxhsdg3fmtl4smdrdwzicliddzfowdd5mecocx6vj5oyd.onion,0.15000000000000002
17KNfHUvHQY6kydoDXRyTj1k6pdBybvNrp,SS,560.92425095,"['btc', 'transcation']",a2zv2gdpw7e3y6ow22aeaybsypakt6b66euc7bgj67mvfxvebml4b5yd.onion,0.2775
1B2CJXjw2YKawodSCwuqctGwxBFhbSFoUB,SS,82.6911901,"['btc', 'transcation']",a2zv2gdpw7e3y6ow22aeaybsypakt6b66euc7bgj67mvfxvebml4b5yd.onion,0.2775
1LmozXZhTNgRud8X6SzG1CUzQwKeaYHPRW,SS,8.04639954,"['btc', 'transcation']",a2zv2gdpw7e3y6ow22aeaybsypakt6b66euc7bgj67mvfxvebml4b5yd.onion,0.2775
